Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,3071.70751953125,3376.699951171875,3447.10009765625,3358.0,3409.5,12825
2020-01-02,3160.401123046875,3474.199951171875,3484.39990234375,3381.550048828125,3385.0,25577
2020-01-03,3154.352294921875,3467.550048828125,3491.0,3445.0,3491.0,17829
2020-01-06,3138.432373046875,3450.050048828125,3463.75,3433.050048828125,3460.0,17488
2020-01-07,3089.85546875,3396.64990234375,3480.85009765625,3380.050048828125,3450.050048828125,31735
2020-01-08,3110.960205078125,3419.85009765625,3445.0,3300.0,3300.0,39466
2020-01-09,3109.640380859375,3418.39990234375,3449.0,3396.0,3448.949951171875,74890
2020-01-10,3080.576416015625,3386.449951171875,3435.0,3375.0,3427.949951171875,20996
2020-01-13,3089.218505859375,3395.949951171875,3419.949951171875,3360.0,3400.0,86638
2020-01-14,3101.86328125,3409.85009765625,3421.800048828125,3390.0,3401.75,16111
2020-01-15,3102.13623046875,3410.14990234375,3426.0,3373.0,3409.0,46709
2020-01-16,3089.218505859375,3395.949951171875,3420.949951171875,3381.5,3420.0,7275
2020-01-17,3080.53125,3386.39990234375,3419.949951171875,3375.949951171875,3416.60009765625,45682
2020-01-20,3070.84326171875,3375.75,3405.0,3363.050048828125,3402.5,21918
2020-01-21,3065.840087890625,3370.25,3383.0,3362.0,3383.0,44703
2020-01-22,3050.330322265625,3353.199951171875,3389.949951171875,3337.300048828125,3375.0,25284
2020-01-23,3044.144287109375,3346.39990234375,3372.89990234375,3333.050048828125,3353.199951171875,41158
2020-01-24,3037.3671875,3338.949951171875,3359.89990234375,3328.0,3346.25,13340
2020-01-27,3004.300537109375,3302.60009765625,3372.75,3290.0,3330.0,20718
2020-01-28,2969.687255859375,3264.550048828125,3358.199951171875,3260.0,3308.0,21040
2020-01-29,3108.640380859375,3417.300048828125,3428.0,3260.0,3279.0,119568
2020-01-30,3087.30859375,3393.85009765625,3482.800048828125,3356.5,3435.0,48165
2020-01-31,3142.298583984375,3454.300048828125,3500.0,3350.0,3393.85009765625,80743
2020-02-03,3275.566162109375,3600.800048828125,3625.39990234375,3501.0,3525.64990234375,106272
2020-02-04,3391.595703125,3728.35009765625,3770.0,3600.0,3619.0,581865
2020-02-05,3516.35791015625,3865.5,3950.0,3730.199951171875,3764.949951171875,252064
2020-02-06,3442.173828125,3783.949951171875,3909.89990234375,3761.050048828125,3872.0,50109
2020-02-07,3441.30908203125,3783.0,3845.0,3771.0,3786.0,19035
2020-02-10,3420.386962890625,3760.0,3793.0,3750.0,3786.050048828125,37538
2020-02-11,3483.927978515625,3829.85009765625,3869.949951171875,3750.050048828125,3750.050048828125,49094
2020-02-12,3462.64111328125,3806.449951171875,3867.0,3775.0,3829.85009765625,30355
2020-02-13,3552.198974609375,3904.89990234375,3926.0,3751.0,3815.0,155572
2020-02-14,3417.24853515625,3756.550048828125,3939.75,3726.0,3906.050048828125,114918
2020-02-17,3382.40771484375,3718.25,3770.0,3680.0,3766.0,32564
2020-02-18,3365.351318359375,3699.5,3729.0,3680.300048828125,3718.25,17582
2020-02-19,3424.025146484375,3764.0,3805.5,3665.550048828125,3717.949951171875,65449
2020-02-20,3347.88525390625,3680.300048828125,3770.0,3660.0,3760.0,42410
2020-02-24,3361.348876953125,3695.10009765625,3740.0,3660.199951171875,3691.60009765625,22169
2020-02-25,3313.2724609375,3642.25,3750.0,3625.0,3713.449951171875,34366
2020-02-26,3168.40576171875,3483.0,3648.0,3465.0,3648.0,53905
2020-02-27,3144.072265625,3456.25,3523.64990234375,3415.300048828125,3485.0,27827
2020-02-28,3080.758544921875,3386.64990234375,3430.0,3350.800048828125,3408.89990234375,21849
2020-03-02,3087.353759765625,3393.89990234375,3460.0,3375.10009765625,3460.0,14706
2020-03-03,3100.609375,3368.300048828125,3437.89990234375,3350.0,3410.800048828125,17842
2020-03-04,3059.55419921875,3323.699951171875,3406.0,3317.050048828125,3384.89990234375,21675
2020-03-05,3077.412353515625,3343.10009765625,3397.949951171875,3298.449951171875,3333.699951171875,51392
2020-03-06,2905.871826171875,3156.75,3339.949951171875,3121.699951171875,3225.050048828125,52501
2020-03-09,2653.69384765625,2882.800048828125,3148.0,2849.10009765625,3148.0,90244
2020-03-11,2798.078369140625,3039.64990234375,3082.75,2900.10009765625,2925.800048828125,121794
2020-03-12,2679.284423828125,2910.60009765625,3009.25,2840.0,2856.0,226971
2020-03-13,2719.6494140625,2954.449951171875,3075.0,2474.89990234375,2700.10009765625,53783
2020-03-16,2523.1171875,2740.949951171875,2923.89990234375,2625.0,2890.0,77837
2020-03-17,2445.93115234375,2657.10009765625,2778.75,2649.699951171875,2752.0,362881
2020-03-18,2337.262939453125,2539.050048828125,2779.949951171875,2496.64990234375,2690.0,171989
2020-03-19,2117.763671875,2300.60009765625,2469.64990234375,2140.0,2340.199951171875,407407
2020-03-20,2100.089111328125,2281.39990234375,2419.25,2210.800048828125,2301.60009765625,93449
2020-03-23,1680.09912109375,1825.1500244140625,2198.89990234375,1825.1500244140625,2100.0,119719
2020-03-24,1404.6773681640625,1525.949951171875,1935.449951171875,1460.1500244140625,1902.5,436901
2020-03-25,1467.77978515625,1594.5,1678.5,1514.5,1525.0,152056
2020-03-26,1614.5574951171875,1753.949951171875,1753.949951171875,1605.0,1630.0,63137
2020-03-27,1749.0006103515625,1900.0,1929.300048828125,1800.0,1905.0,79150
2020-03-30,1694.87353515625,1841.199951171875,1899.0,1770.0,1810.0,52133
2020-03-31,1655.6129150390625,1798.550048828125,1905.0,1779.8499755859375,1873.0,43449
2020-04-01,1615.109619140625,1754.550048828125,1819.0,1725.5,1819.0,30051
2020-04-03,1771.6453857421875,1924.5999755859375,1930.0,1700.0,1780.0,47262
2020-04-07,1821.6300048828125,1978.9000244140625,2020.699951171875,1932.1500244140625,1980.0,26401
2020-04-08,1863.8359375,2024.75,2073.85009765625,1925.0,2027.949951171875,25453
