Date,Adj Close,Adj Close,Adj Close,Adj Close,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2020-01-01,47.112213134765625,,61.102996826171875,113.70919036865234,54.54999923706055,,62.1511116027832,123.8499984741211,55.599998474121094,,63.426666259765625,124.32499694824219,54.150001525878906,,62.0444450378418,123.0999984741211,55.04999923706055,,62.75555419921875,123.25,4807629,,844886,2827732
2020-01-02,47.63040542602539,,61.70598602294922,113.98461151123047,55.150001525878906,,62.764442443847656,124.1500015258789,55.45000076293945,,63.23555374145508,124.94999694824219,54.45000076293945,,62.119998931884766,123.17500305175781,54.45000076293945,,62.4577751159668,123.30000305175781,5754393,,1154295,2887932
2020-01-03,47.28494644165039,,61.38264465332031,115.26998901367188,54.75,,62.43555450439453,125.55000305175781,55.5,,63.06666564941406,126.3499984741211,54.349998474121094,,62.1422233581543,123.67500305175781,55.099998474121094,,62.586666107177734,124.75,5525524,,1022658,6762808
2020-01-06,45.730369567871094,,61.15979766845703,115.75198364257812,52.95000076293945,,62.20888900756836,126.07499694824219,54.29999923706055,,62.400001525878906,127.2249984741211,52.79999923706055,,60.86666488647461,125.07499694824219,54.150001525878906,,62.400001525878906,125.5,5204531,,754357,9133390
2020-01-07,45.514461517333984,,60.596134185791016,117.15213012695312,52.70000076293945,,61.635555267333984,127.5999984741211,54.29999923706055,,62.599998474121094,128.1750030517578,52.25,,61.31111145019531,125.0999984741211,53.599998474121094,,61.87111282348633,126.625,5527537,,1285447,8805574
2020-01-08,44.86671829223633,,61.40011978149414,116.96851348876953,51.95000076293945,,62.45333480834961,127.4000015258789,52.599998474121094,,63.11111068725586,128.0749969482422,51.0,,61.0444450378418,126.2750015258789,51.900001525878906,,61.33333206176758,127.0,4490512,,1729383,5588820
2020-01-09,45.384910583496094,,62.54930114746094,116.44058227539062,52.54999923706055,,63.622222900390625,126.82499694824219,53.400001525878906,,64.17778015136719,128.25,52.25,,62.6533317565918,126.32499694824219,52.900001525878906,,62.93333435058594,127.125,5088100,,1669297,4990046
2020-01-10,45.471275329589844,,64.21844482421875,115.56837463378906,52.650001525878906,,65.31999969482422,125.875,53.45000076293945,,66.22222137451172,127.5999984741211,52.29999923706055,,63.64444351196289,125.5,52.45000076293945,,63.64444351196289,126.9749984741211,4761614,,3552547,4113154
2020-01-13,45.384910583496094,,64.2665023803711,116.96851348876953,52.54999923706055,,65.36888885498047,127.4000015258789,53.29999923706055,,66.63555145263672,128.9499969482422,52.150001525878906,,65.03555297851562,126.42500305175781,53.29999923706055,,65.9022216796875,127.0,3714041,,1591571,13927198
2020-01-14,45.34172821044922,,64.32768249511719,118.07025909423828,52.5,,65.43111419677734,128.60000610351562,52.95000076293945,,65.95555877685547,129.1750030517578,51.849998474121094,,64.0,127.2750015258789,52.25,,65.77777862548828,128.4250030517578,3239557,,1017450,14593554
2020-01-15,45.471275329589844,,64.60733032226562,113.961669921875,52.650001525878906,,65.7155532836914,124.125,52.900001525878906,,67.09333038330078,128.0,52.20000076293945,,65.0,123.30000305175781,52.5,,65.56444549560547,127.0,2829991,,2232135,20280902
2020-01-16,45.557640075683594,,65.11419677734375,114.9715805053711,52.75,,66.23110961914062,125.2249984741211,53.150001525878906,,66.84444427490234,126.30000305175781,52.400001525878906,,64.84888458251953,123.5,52.79999923706055,,65.86666870117188,124.0,3704771,,801078,17623672
2020-01-17,45.42809295654297,,65.69096374511719,115.26998901367188,52.599998474121094,,66.81777954101562,125.55000305175781,53.099998474121094,,67.9111099243164,126.94999694824219,52.20000076293945,,66.34666442871094,124.82499694824219,52.5,,66.34666442871094,126.0,3655362,,2139345,8281636
2020-01-20,44.9099006652832,,66.54302978515625,113.84690856933594,52.0,,67.68444061279297,124.0,52.849998474121094,,68.53333282470703,125.4000015258789,51.599998474121094,,66.26666259765625,123.5999984741211,52.75,,66.75555419921875,125.4000015258789,2391889,,2075006,3817166
2020-01-21,44.69398880004883,,68.8719482421875,113.43374633789062,51.75,,70.05332946777344,123.55000305175781,52.29999923706055,,70.4000015258789,124.0999984741211,51.5,,67.7155532836914,123.0,51.79999923706055,,67.82221984863281,123.94999694824219,2308022,,4740390,3015884
2020-01-22,44.47807312011719,,69.43562316894531,112.85992431640625,51.5,,70.62666320800781,122.92500305175781,52.20000076293945,,71.46666717529297,125.9749984741211,51.29999923706055,,69.07111358642578,122.69999694824219,52.0,,70.64888763427734,124.30000305175781,1736721,,3885120,6800848
2020-01-23,45.25536346435547,,73.11473083496094,114.16824340820312,52.400001525878906,,74.36888885498047,124.3499984741211,52.849998474121094,,75.82221984863281,124.55000305175781,51.349998474121094,,70.32444763183594,122.67500305175781,51.5,,70.80000305175781,123.2249984741211,3343402,,7197007,3393088
2020-01-24,45.212181091308594,,74.25516510009766,114.12215423583984,52.349998474121094,,75.52888488769531,123.80000305175781,53.0,,75.9022216796875,124.7249984741211,52.150001525878906,,74.4000015258789,123.125,52.400001525878906,,74.4000015258789,124.32499694824219,2862184,,2632050,3421554
2020-01-27,44.78035354614258,,74.13720703125,113.08509063720703,51.849998474121094,,75.40888977050781,122.67500305175781,52.349998474121094,,77.33333587646484,123.94999694824219,51.599998474121094,,75.11111450195312,122.375,52.0,,75.36888885498047,123.94999694824219,1991306,,2476271,3306994
2020-01-28,44.47807312011719,,72.69087982177734,112.48591613769531,51.5,,73.93777465820312,122.0250015258789,52.099998474121094,,75.37333679199219,123.05000305175781,51.0,,72.0,120.9000015258789,51.900001525878906,,74.77777862548828,122.94999694824219,2011311,,1459001,4272362
2020-01-29,44.47807312011719,,70.6197509765625,113.73037719726562,51.5,,71.83110809326172,123.375,51.95000076293945,,74.65333557128906,123.69999694824219,51.20000076293945,,69.66222381591797,121.625,51.79999923706055,,74.07555389404297,122.30000305175781,1710263,,1885477,4009378
2020-01-30,43.70078659057617,,65.94438171386719,110.94185638427734,50.599998474121094,,67.07555389404297,120.3499984741211,51.5,,72.80000305175781,123.80000305175781,50.20000076293945,,66.66666412353516,120.0999984741211,51.25,,72.0,123.80000305175781,1971860,,3479760,4294930
2020-01-31,43.09623336791992,,67.03677368164062,109.14429473876953,49.900001525878906,,68.1866683959961,118.4000015258789,51.400001525878906,,69.2933349609375,119.57499694824219,49.099998474121094,,66.33777618408203,117.5,50.900001525878906,,67.28888702392578,119.0,2160583,,2902140,11107276
2020-02-03,41.15301513671875,,69.60166931152344,109.42083740234375,47.650001525878906,,70.7955551147461,118.69999694824219,48.900001525878906,,71.28888702392578,120.07499694824219,47.349998474121094,,67.55110931396484,117.625,48.25,,67.55555725097656,118.8499984741211,2917775,,1763955,8463660
2020-02-04,41.45529556274414,,72.03109741210938,110.73444366455078,48.0,,73.26666259765625,120.125,48.400001525878906,,73.77777862548828,120.625,47.5,,71.4044418334961,118.94999694824219,47.900001525878906,,71.90666961669922,119.5,2484469,,4458150,6329512
2020-02-05,41.88711929321289,,70.32699584960938,111.65626525878906,48.5,,71.53333282470703,121.125,48.70000076293945,,73.4222183227539,121.5,48.0,,70.67111206054688,118.6500015258789,48.20000076293945,,72.62222290039062,120.80000305175781,1708093,,2011230,7751206
2020-02-06,42.31895065307617,,67.83639526367188,112.30154418945312,49.0,,69.0,121.82499694824219,50.650001525878906,,71.92444610595703,122.9749984741211,48.45000076293945,,68.55110931396484,120.82499694824219,48.5,,71.12889099121094,121.375,4266040,,3370128,6112396
2020-02-07,42.27576446533203,,73.69151306152344,112.43981170654297,48.95000076293945,,74.95555877685547,121.9749984741211,49.5,,75.55555725097656,123.5,48.54999923706055,,69.33333587646484,121.4749984741211,49.25,,69.33333587646484,123.5,2122619,,16685482,5519024
2020-02-10,44.00306701660156,,72.54232788085938,111.03404235839844,50.95000076293945,,73.78666687011719,120.44999694824219,52.400001525878906,,76.7066650390625,122.82499694824219,47.650001525878906,,72.26666259765625,119.7249984741211,49.0,,74.95555877685547,122.69999694824219,6161761,,3566868,4517992
2020-02-11,42.96669006347656,,70.7639389038086,111.19535827636719,49.75,,71.97777557373047,120.625,51.900001525878906,,75.46221923828125,121.44999694824219,49.20000076293945,,71.55555725097656,119.9000015258789,51.900001525878906,,74.28888702392578,120.2750015258789,5602045,,2400986,5460620
2020-02-12,42.146217346191406,,71.196533203125,112.6702880859375,48.79999923706055,,72.41777801513672,122.2249984741211,50.099998474121094,,72.88888549804688,123.57499694824219,48.54999923706055,,71.37777709960938,120.8499984741211,49.70000076293945,,71.64444732666016,120.8499984741211,2404887,,1528110,6838800
2020-02-13,41.843936920166016,,72.17964935302734,112.3476333618164,48.45000076293945,,73.41777801513672,121.875,49.400001525878906,,74.4800033569336,122.9000015258789,48.0,,71.51555633544922,121.25,48.599998474121094,,72.66666412353516,122.9000015258789,2720671,,1815480,4829910
2020-02-14,41.239383697509766,,71.61163330078125,111.95585632324219,47.75,,72.83999633789062,121.44999694824219,48.900001525878906,,74.2044448852539,122.67500305175781,47.400001525878906,,72.45333099365234,121.0,48.45000076293945,,73.68888854980469,121.9000015258789,2627577,,815253,3619586
2020-02-17,40.375728607177734,,70.37943267822266,112.37069702148438,46.75,,71.58666229248047,121.9000015258789,47.75,,73.32444763183594,122.5,46.54999923706055,,71.11111450195312,120.9749984741211,47.75,,73.32444763183594,121.44999694824219,2161371,,901080,2035556
2020-02-18,37.35294723510742,,70.6241226196289,112.48591613769531,43.25,,71.83555603027344,122.0250015258789,46.79999923706055,,73.04444122314453,122.42500305175781,40.04999923706055,,69.42666625976562,120.625,46.5,,71.64444732666016,121.875,5665324,,1135620,2505274
2020-02-19,38.17341995239258,,69.75021362304688,114.12215423583984,44.20000076293945,,70.94666290283203,123.80000305175781,44.400001525878906,,72.87110900878906,124.17500305175781,43.20000076293945,,70.5111083984375,122.25,43.5,,72.5199966430664,122.25,2615042,,3320291,3570768
2020-02-20,38.17341995239258,,71.57666015625,113.24641418457031,44.20000076293945,,72.804443359375,122.8499984741211,44.79999923706055,,74.36888885498047,124.2750015258789,43.70000076293945,,71.11555480957031,122.55000305175781,43.900001525878906,,71.2844467163086,124.0,2389438,,2782215,4241614
2020-02-24,36.44611358642578,,70.68528747558594,112.55504608154297,42.20000076293945,,71.89777374267578,122.0999984741211,43.70000076293945,,72.88888549804688,123.9000015258789,41.5,,71.55555725097656,121.19999694824219,43.04999923706055,,72.42666625976562,122.5,2115016,,2551455,7043950
2020-02-25,36.402931213378906,,70.82511138916016,112.50895690917969,42.150001525878906,,72.04000091552734,122.05000305175781,42.650001525878906,,73.195556640625,123.32499694824219,41.54999923706055,,71.56444549560547,121.2249984741211,42.45000076293945,,72.44444274902344,122.07499694824219,2322554,,2099756,5059572
2020-02-26,35.668827056884766,,73.24580383300781,110.57311248779297,41.29999923706055,,74.5022201538086,119.94999694824219,42.29999923706055,,75.54222106933594,121.7249984741211,41.0,,71.71111297607422,119.19999694824219,41.900001525878906,,71.7155532836914,121.5250015258789,2347752,,7253156,7988388
2020-02-27,34.89154052734375,,71.44122314453125,106.74754333496094,40.400001525878906,,72.66666412353516,115.80000305175781,41.29999923706055,,76.35555267333984,119.4749984741211,40.20000076293945,,72.46221923828125,115.25,41.29999923706055,,74.66666412353516,119.4749984741211,2026301,,3510180,9733628
2020-02-28,32.08467102050781,,71.05670166015625,102.06927490234375,37.150001525878906,,72.27555847167969,110.7249984741211,39.400001525878906,,73.23999786376953,114.75,36.79999923706055,,70.23110961914062,109.8499984741211,38.54999923706055,,71.65333557128906,114.25,3523901,,4315646,11274618
