Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,116.05201721191406,210.10000610351562,211.5,209.60000610351562,210.8000030517578,88791
2020-01-02,118.28909301757812,214.14999389648438,214.9499969482422,210.5500030517578,211.39999389648438,549833
2020-01-03,118.89669036865234,215.25,216.89999389648438,213.10000610351562,214.0,816967
2020-01-06,117.01864624023438,211.85000610351562,216.39999389648438,210.0,216.39999389648438,322036
2020-01-07,117.6814956665039,213.0500030517578,215.60000610351562,210.1999969482422,212.60000610351562,259266
2020-01-08,116.54913330078125,211.0,212.1999969482422,209.5,211.0,362093
2020-01-09,117.79196166992188,213.25,215.3000030517578,211.35000610351562,215.3000030517578,380062
2020-01-10,121.02330780029297,219.10000610351562,224.4499969482422,213.0,215.0,2207069
2020-01-13,119.20050048828125,215.8000030517578,222.0,214.1999969482422,219.64999389648438,547822
2020-01-14,118.23385620117188,214.0500030517578,218.6999969482422,213.25,216.0,2079225
2020-01-15,118.9519271850586,215.35000610351562,218.89999389648438,213.5,214.0,679989
2020-01-16,119.17286682128906,215.75,218.5,215.14999389648438,217.0,417479
2020-01-17,119.8357162475586,216.9499969482422,219.60000610351562,216.35000610351562,217.0,1274504
2020-01-20,119.50430297851562,216.35000610351562,224.0,214.5500030517578,218.75,1694116
2020-01-21,117.32244110107422,212.39999389648438,216.8000030517578,211.64999389648438,214.0,549280
2020-01-22,115.55487060546875,209.1999969482422,214.6999969482422,207.6999969482422,213.0,576149
2020-01-23,115.2510757446289,208.64999389648438,210.6999969482422,207.5,210.25,472035
2020-01-24,114.80918884277344,207.85000610351562,209.89999389648438,207.5,209.89999389648438,558023
2020-01-27,111.02547454833984,201.0,208.10000610351562,200.0,207.9499969482422,922817
2020-01-28,109.78266143798828,198.75,203.39999389648438,197.25,201.14999389648438,612033
2020-01-29,109.67220306396484,198.5500030517578,202.75,198.0,200.0,591901
2020-01-30,107.54557037353516,194.6999969482422,199.75,193.5,199.75,689175
2020-01-31,107.21415710449219,194.10000610351562,196.6999969482422,193.64999389648438,195.14999389648438,724986
2020-02-03,104.6180419921875,189.39999389648438,192.75,188.14999389648438,191.60000610351562,327572
2020-02-04,106.57894134521484,192.9499969482422,194.89999389648438,190.0,191.6999969482422,475656
2020-02-05,105.36373901367188,190.75,194.9499969482422,189.5,193.1999969482422,682799
2020-02-06,106.46846008300781,192.75,198.6999969482422,191.89999389648438,193.6999969482422,867168
2020-02-07,107.7389144897461,195.0500030517578,195.60000610351562,192.6999969482422,193.75,337789
2020-02-10,107.02084350585938,193.75,196.75,191.64999389648438,196.1999969482422,296480
2020-02-11,107.600830078125,194.8000030517578,195.89999389648438,192.5,194.39999389648438,207883
2020-02-12,106.19229125976562,192.25,195.14999389648438,191.60000610351562,195.0,155810
2020-02-13,105.36373901367188,190.75,193.6999969482422,190.25,192.5,149432
2020-02-14,105.3084945678711,190.64999389648438,192.0,190.1999969482422,191.0,138592
2020-02-17,104.4799575805664,189.14999389648438,190.64999389648438,188.3000030517578,190.64999389648438,135016
2020-02-18,102.491455078125,185.5500030517578,190.0,184.10000610351562,190.0,324413
2020-02-19,102.07717895507812,184.8000030517578,189.60000610351562,184.5,185.6999969482422,279253
2020-02-20,100.72386169433594,182.35000610351562,187.6999969482422,181.5,185.0,390434
2020-02-24,99.50865936279297,180.14999389648438,183.1999969482422,179.5,181.5,705058
2020-02-25,98.10012817382812,177.60000610351562,181.5,175.0,180.0,366180
2020-02-26,95.44878387451172,172.8000030517578,177.9499969482422,170.85000610351562,175.10000610351562,542335
2020-02-27,100.75148010253906,182.39999389648438,187.64999389648438,170.0,170.10000610351562,1352291
2020-02-28,95.14498138427734,172.25,177.75,170.3000030517578,170.3000030517578,640027
2020-03-02,92.63170623779297,167.6999969482422,177.14999389648438,164.0,173.3000030517578,290865
2020-03-03,95.50399780273438,172.89999389648438,174.0,167.8000030517578,170.0,321602
2020-03-04,93.59834289550781,169.4499969482422,172.89999389648438,167.1999969482422,172.35000610351562,302832
2020-03-05,93.54310607910156,169.35000610351562,174.35000610351562,169.0,172.0,228864
2020-03-06,90.47749328613281,163.8000030517578,170.5,161.89999389648438,167.0,558994
2020-03-09,87.9918441772461,159.3000030517578,161.4499969482422,154.39999389648438,161.4499969482422,882419
2020-03-11,88.37848663330078,160.0,168.5500030517578,158.1999969482422,168.5500030517578,641989
2020-03-12,80.12062072753906,145.0500030517578,155.0,140.14999389648438,153.0,1359057
2020-03-13,77.9664077758789,141.14999389648438,150.1999969482422,116.05000305175781,129.85000610351562,1802233
2020-03-16,76.36454010009766,138.25,148.0,133.1999969482422,136.0,1040430
2020-03-17,74.07221984863281,134.10000610351562,142.0,130.0,138.0,804354
2020-03-18,74.98362731933594,135.75,145.39999389648438,126.5,137.0,829364
2020-03-19,70.28851318359375,127.25,135.0,125.25,132.89999389648438,834222
2020-03-20,75.25981140136719,136.25,142.5,127.30000305175781,130.0,772563
2020-03-23,69.34949493408203,125.55000305175781,135.0,123.0,125.0,683556
2020-03-24,69.70854187011719,126.19999694824219,130.0,125.0,126.0,778018
2020-03-25,76.1988296508789,137.9499969482422,139.14999389648438,123.44999694824219,125.0,823353
2020-03-26,76.91690826416016,139.25,145.0,138.10000610351562,142.0,494010
2020-03-27,79.51302337646484,143.9499969482422,154.0,141.9499969482422,141.9499969482422,701050
2020-03-30,80.28633880615234,145.35000610351562,146.5500030517578,137.5,140.0,352686
2020-03-31,85.83760833740234,155.39999389648438,159.64999389648438,146.0500030517578,146.5500030517578,510402
2020-04-01,88.6270751953125,160.4499969482422,167.0,152.25,155.0,901524
2020-04-03,89.23465728759766,161.5500030517578,167.0,151.4499969482422,167.0,710426
2020-04-07,90.86414337158203,164.5,169.4499969482422,159.64999389648438,169.4499969482422,1136863
2020-04-08,91.66507720947266,165.9499969482422,169.9499969482422,164.0,167.0,382642
2020-04-09,91.41650390625,165.5,171.60000610351562,163.0,168.8000030517578,368829
2020-04-13,91.25080108642578,165.1999969482422,168.75,162.5500030517578,166.0,295015
