Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,137.0978546142578,139.82650756835938,141.4264678955078,139.2447052001953,140.6022491455078,165803
2020-01-02,140.3303985595703,143.12338256835938,146.42027282714844,139.1962127685547,140.21437072753906,1709735
2020-01-03,138.71412658691406,141.47494506835938,142.83248901367188,139.7295379638672,141.0870819091797,423837
2020-01-06,134.10301208496094,136.7720489501953,141.3779754638672,136.09327697753906,140.6022491455078,429176
2020-01-07,133.96038818359375,136.6265869140625,139.48712158203125,136.28720092773438,138.56593322753906,1239754
2020-01-08,132.3441162109375,134.9781494140625,135.99630737304688,133.2327423095703,135.75389099121094,1229079
2020-01-09,132.81948852539062,135.46298217773438,137.93565368652344,134.5902862548828,136.14175415039062,1020506
2020-01-10,131.2982940673828,133.91151428222656,137.0629425048828,132.36004638671875,135.9478302001953,976133
2020-01-13,131.20321655273438,133.81454467773438,135.6084442138672,133.3297119140625,135.6084442138672,627375
2020-01-14,133.104736328125,135.75389099121094,136.38417053222656,132.55397033691406,134.2509002685547,2132904
2020-01-15,131.0606231689453,133.66909790039062,137.20838928222656,132.69943237304688,135.75389099121094,918938
2020-01-16,134.2931671142578,136.96597290039062,137.5477752685547,133.13577270507812,134.2509002685547,936756
2020-01-17,138.33383178710938,141.0870819091797,141.57191467285156,135.0751190185547,136.7235565185547,1178646
2020-01-20,136.33726501464844,139.05076599121094,141.47494506835938,138.17807006835938,140.6022491455078,1805201
2020-01-21,137.00279235839844,139.7295379638672,140.11740112304688,137.2568817138672,137.2568817138672,1289680
2020-01-22,137.0978546142578,139.82650756835938,141.32949829101562,139.14773559570312,139.29318237304688,259383
2020-01-23,137.0978546142578,139.82650756835938,141.66888427734375,137.49929809570312,140.0689239501953,892967
2020-01-24,137.95352172851562,140.69920349121094,141.0870819091797,139.4386444091797,139.632568359375,369939
2020-01-27,136.1946563720703,138.9053192138672,143.2688446044922,138.46896362304688,140.6022491455078,552588
2020-01-28,133.15225219726562,135.8023681640625,140.8931427001953,135.02664184570312,140.8931427001953,1691371
2020-01-29,133.3424072265625,135.99630737304688,138.03260803222656,135.26905822753906,135.26905822753906,633176
2020-01-30,133.77023315429688,136.4326629638672,138.03260803222656,135.31753540039062,136.7235565185547,1835010
2020-01-31,135.2914581298828,137.984130859375,138.66290283203125,134.0569610595703,138.61441040039062,741427
2020-02-03,133.912841796875,136.57810974121094,137.35385131835938,133.37818908691406,134.5417938232422,621297
2020-02-04,133.48501586914062,136.14175415039062,138.17807006835938,135.12359619140625,137.20838928222656,2052241
2020-02-05,133.24732971191406,135.8993377685547,137.20838928222656,134.9781494140625,136.96597290039062,603698
2020-02-06,134.578369140625,137.2568817138672,137.6932373046875,135.9478302001953,135.9478302001953,993145
2020-02-07,133.24732971191406,135.8993377685547,138.46896362304688,135.17208862304688,137.6932373046875,847485
2020-02-10,131.10813903808594,133.7175750732422,136.2387237548828,132.84487915039062,135.26905822753906,927148
2020-02-11,132.1539764404297,134.7842254638672,135.75389099121094,134.10545349121094,135.75389099121094,647158
2020-02-12,131.15570068359375,133.7660675048828,135.6084442138672,133.4266815185547,135.6084442138672,293392
2020-02-13,127.59040069580078,130.1298065185547,134.8811798095703,128.86923217773438,133.81454467773438,1550971
2020-02-14,127.44776153564453,129.98434448242188,130.90553283691406,128.86923217773438,129.83889770507812,814315
2020-02-17,125.0708999633789,127.56017303466797,130.90553283691406,126.92988586425781,130.37222290039062,1757197
2020-02-18,124.45291137695312,126.92988586425781,128.7722625732422,122.85726928710938,127.02685546875,813006
2020-02-19,130.3950958251953,132.99032592773438,133.66909790039062,126.63898468017578,128.3843994140625,816721
2020-02-20,133.15225219726562,135.8023681640625,137.49929809570312,130.1298065185547,132.99032592773438,1595577
