Date,Adj Close,Adj Close,Adj Close,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
2020-01-01,47.112213134765625,,61.102996826171875,54.54999923706055,,62.1511116027832,55.599998474121094,,63.426666259765625,54.150001525878906,,62.0444450378418,55.04999923706055,,62.75555419921875,4807629,,844886
2020-01-02,47.63040542602539,,61.70598602294922,55.150001525878906,,62.764442443847656,55.45000076293945,,63.23555374145508,54.45000076293945,,62.119998931884766,54.45000076293945,,62.4577751159668,5754393,,1154295
2020-01-03,47.28494644165039,,61.38264465332031,54.75,,62.43555450439453,55.5,,63.06666564941406,54.349998474121094,,62.1422233581543,55.099998474121094,,62.586666107177734,5525524,,1022658
2020-01-06,45.730369567871094,,61.15979766845703,52.95000076293945,,62.20888900756836,54.29999923706055,,62.400001525878906,52.79999923706055,,60.86666488647461,54.150001525878906,,62.400001525878906,5204531,,754357
2020-01-07,45.514461517333984,,60.596134185791016,52.70000076293945,,61.635555267333984,54.29999923706055,,62.599998474121094,52.25,,61.31111145019531,53.599998474121094,,61.87111282348633,5527537,,1285447
2020-01-08,44.86671829223633,,61.40011978149414,51.95000076293945,,62.45333480834961,52.599998474121094,,63.11111068725586,51.0,,61.0444450378418,51.900001525878906,,61.33333206176758,4490512,,1729383
2020-01-09,45.384910583496094,,62.54930114746094,52.54999923706055,,63.622222900390625,53.400001525878906,,64.17778015136719,52.25,,62.6533317565918,52.900001525878906,,62.93333435058594,5088100,,1669297
2020-01-10,45.471275329589844,,64.21844482421875,52.650001525878906,,65.31999969482422,53.45000076293945,,66.22222137451172,52.29999923706055,,63.64444351196289,52.45000076293945,,63.64444351196289,4761614,,3552547
2020-01-13,45.384910583496094,,64.2665023803711,52.54999923706055,,65.36888885498047,53.29999923706055,,66.63555145263672,52.150001525878906,,65.03555297851562,53.29999923706055,,65.9022216796875,3714041,,1591571
2020-01-14,45.34172821044922,,64.32768249511719,52.5,,65.43111419677734,52.95000076293945,,65.95555877685547,51.849998474121094,,64.0,52.25,,65.77777862548828,3239557,,1017450
2020-01-15,45.471275329589844,,64.60733032226562,52.650001525878906,,65.7155532836914,52.900001525878906,,67.09333038330078,52.20000076293945,,65.0,52.5,,65.56444549560547,2829991,,2232135
2020-01-16,45.557640075683594,,65.11419677734375,52.75,,66.23110961914062,53.150001525878906,,66.84444427490234,52.400001525878906,,64.84888458251953,52.79999923706055,,65.86666870117188,3704771,,801078
2020-01-17,45.42809295654297,,65.69096374511719,52.599998474121094,,66.81777954101562,53.099998474121094,,67.9111099243164,52.20000076293945,,66.34666442871094,52.5,,66.34666442871094,3655362,,2139345
2020-01-20,44.9099006652832,,66.54302978515625,52.0,,67.68444061279297,52.849998474121094,,68.53333282470703,51.599998474121094,,66.26666259765625,52.75,,66.75555419921875,2391889,,2075006
2020-01-21,44.69398880004883,,68.8719482421875,51.75,,70.05332946777344,52.29999923706055,,70.4000015258789,51.5,,67.7155532836914,51.79999923706055,,67.82221984863281,2308022,,4740390
