Date,Adj Close,Close,High,Low,Open,Volume
2020-01-01,690.580810546875,738.9525146484375,742.467529296875,735.6124877929688,740.9500122070312,477180
2020-01-02,688.2584228515625,736.467529296875,742.6475219726562,734.3574829101562,742.4450073242188,922320
2020-01-03,681.9152221679688,729.6799926757812,739.75,727.8049926757812,737.5,800000
2020-01-06,673.6468505859375,720.83251953125,727.0999755859375,713.75,727.0999755859375,1302720
2020-01-07,667.7639770507812,714.5374755859375,727.3375244140625,713.04248046875,721.177490234375,1444740
2020-01-08,672.4601440429688,719.5625,722.5,706.0175170898438,709.5800170898438,789760
2020-01-09,684.2445068359375,732.1724853515625,733.75,722.5,724.75,1114160
2020-01-10,686.2258911132812,734.29248046875,735.9450073242188,728.5125122070312,732.1724853515625,785480
2020-01-13,684.9362182617188,732.9124755859375,737.39501953125,730.0499877929688,737.39501953125,539800
2020-01-14,694.7652587890625,743.4299926757812,744.75,730.3499755859375,732.89501953125,1007560
2020-01-15,694.3726806640625,743.010009765625,747.5,735.9425048828125,741.4000244140625,829360
2020-01-16,717.4885864257812,767.7449951171875,769.9000244140625,742.405029296875,742.5499877929688,4064160
2020-01-17,721.4392700195312,771.9724731445312,780.0,767.9324951171875,769.9500122070312,1927980
2020-01-20,720.4019775390625,770.8624877929688,773.969970703125,761.5075073242188,761.5075073242188,1375400
2020-01-21,714.0238037109375,764.0374755859375,775.0800170898438,760.0,768.052490234375,1265160
2020-01-22,726.5443115234375,777.4349975585938,779.25,765.0499877929688,768.4500122070312,1112540
2020-01-23,726.5511474609375,777.4425048828125,781.25,772.75,775.0,857220
2020-01-24,736.20751953125,787.7750244140625,792.5,775.0075073242188,780.0,1012640
2020-01-27,732.0275268554688,783.302490234375,792.25,777.9974975585938,785.0,627240
2020-01-28,720.3739013671875,770.83251953125,785.5,768.3400268554688,783.2000122070312,1062140
2020-01-29,741.4058227539062,793.3375244140625,794.9974975585938,772.0,779.25,1285020
2020-01-30,725.2406616210938,776.0399780273438,790.54248046875,773.5625,790.0999755859375,945040
2020-01-31,717.7011108398438,767.9724731445312,781.8624877929688,765.5150146484375,778.0,1192980
2020-02-03,761.697021484375,815.0499877929688,825.0,776.5,779.4500122070312,4075040
2020-02-04,768.9209594726562,822.780029296875,825.39501953125,806.3524780273438,820.0,2328320
2020-02-05,765.614990234375,819.2424926757812,824.094970703125,812.802490234375,823.7999877929688,1150220
2020-02-06,760.9469604492188,814.2474975585938,827.4724731445312,807.8900146484375,819.9500122070312,1481680
2020-02-07,762.9492797851562,816.3900146484375,819.25,809.72998046875,817.0,828140
2020-02-10,755.6785888671875,808.6099853515625,818.655029296875,805.5999755859375,815.0,1225400
2020-02-11,747.4990234375,799.8574829101562,815.0025024414062,797.5,812.0,1467000
2020-02-12,761.5427856445312,814.885009765625,823.6300048828125,798.4224853515625,801.2999877929688,2580220
2020-02-13,766.8930053710938,820.6099853515625,823.0750122070312,813.8674926757812,816.4000244140625,3024560
2020-02-14,764.2880859375,817.822509765625,839.1199951171875,812.5,825.0,3314160
2020-02-17,775.1286010742188,829.4224853515625,830.75,818.6500244140625,820.6500244140625,2795760
2020-02-18,766.5028686523438,820.1925048828125,828.4949951171875,819.2525024414062,828.4949951171875,1800260
2020-02-19,784.3151245117188,839.2525024414062,841.5750122070312,823.7899780273438,826.9299926757812,1900000
2020-02-20,772.8413696289062,826.9749755859375,837.0,826.27001953125,837.0,1314640
2020-02-24,763.3908081054688,816.8624877929688,828.8375244140625,815.8499755859375,824.9500122070312,1330320
2020-02-25,765.4118041992188,819.0250244140625,827.04248046875,815.467529296875,818.6500244140625,1818320
2020-02-26,758.8536987304688,812.0075073242188,827.25,807.5025024414062,827.25,2336780
